,SVL,PCI_limbs,PCII_head,PCIII_padwidth_vs_tail,PCIV_lamella_num,awesomeness,hostility,attitude,ecomorph,island
ahli,4.039125443,-3.248285995,0.372251911,-1.042218702,-2.414742281,-0.241651698,-0.173476906,0.644377078,TG,Cuba
alayoni,3.815704818,3.40888624,-1.783358496,2.208451038,0.949696895,-0.259032167,0.127344278,0.295973248,TW,Cuba
alfaroi,3.526654599,2.581759215,0.778763353,-2.446333665,0.700366081,-0.462062012,0.178370302,-0.019589154,GB,Cuba
aliniger,4.036556538,0.123238978,-1.674670408,2.38713356,0.584864307,0.006869282,0.144815367,0.293764324,TC,Hispaniola
allisoni,4.375390078,2.035979665,-3.742528151,0.520370284,2.055651718,-0.13230987,0.464556617,-0.54956842,TC,Cuba
allogus,4.040138442,-2.845570205,0.600113413,-1.025305597,-2.463311064,0.624468879,-0.500096224,0.712891039,TG,Cuba
altitudinalis,3.842994419,2.867514691,-6.128050465,2.333119617,0.681954981,1.164592168,-0.86546226,0.63326685,TC,Cuba
alumina,3.588940722,0.72166993,1.525144436,-2.672166881,1.2348795,-1.253724344,1.308419442,-0.961108949,GB,Hispaniola
alutaceus,3.554890814,1.173389987,-0.614938131,-1.653988306,1.411602279,0.325807029,-0.523648505,0.504051566,GB,Cuba
angusticeps,3.788595498,4.587110714,-1.976738307,1.159467074,0.388356872,1.71321729,-1.884387903,0.924717522,TW,Cuba
argenteolus,3.971307363,-2.927973278,2.619644934,0.979172726,2.941942272,0.490363636,-0.505416684,-0.202546511,U,Cuba
argillaceus,3.757868992,-0.113078509,-1.489443742,2.371081539,0.332641418,0.007554828,-0.259421287,-0.625599119,U,Cuba
armouri,4.121684075,-3.169935977,-4.086204405,-0.88832086,-2.021299091,-0.158605136,-0.369246555,-0.26866597,TG,Hispaniola
bahorucoensis,3.827445029,-0.047473321,-2.556947237,-3.089694876,1.562718774,2.553879072,-2.337986521,2.470751171,GB,Hispaniola
baleatus,5.05305601,0.737664948,1.796460281,-0.540951617,-0.162205464,2.727286255,-2.487661729,2.784776159,CG,Hispaniola
baracoae,5.042779747,0.768173923,0.069871275,0.180589139,2.663091341,1.821981086,-1.522244645,2.175915113,CG,Cuba
barahonae,5.076957937,0.907310396,2.332223415,-0.615846425,-0.1947378,1.8313709,-1.331616706,1.706268537,CG,Hispaniola
barbatus,5.003946306,2.250202286,-3.308181723,1.347639007,-1.647804555,2.15628754,-2.094147109,1.971965978,U,Cuba
barbouri,3.663931948,-0.875362369,1.340094336,-2.613824516,-4.301471854,1.788945648,-0.913725183,0.640252721,U,Hispaniola
bartschi,4.280547466,-3.255021682,0.805656517,1.123428792,1.749437033,-1.189744988,1.025075387,0.259946248,U,Cuba
bremeri,4.113370744,-1.81361138,2.606750118,0.639931952,-1.626299388,-1.754300558,1.412718374,0.183234499,TG,Cuba
breslini,4.051110808,-2.974975292,-3.341533754,-1.897824877,-2.167187059,-1.944082859,2.147925602,-2.074650462,TG,Hispaniola
brevirostris,3.874154977,-3.28900081,1.384254882,2.407075589,-0.826669905,-1.538338585,1.63353366,-1.242478949,T,Hispaniola
caudalis,3.911742966,-1.782708393,1.908707756,1.753096572,-1.443788779,-0.601304152,0.21650095,0.851820031,T,Hispaniola
centralis,3.697941213,0.730738763,-0.416835974,1.758647687,-1.13869021,-0.620236225,0.330225203,-0.717773581,U,Cuba
