Index,Season,Episode,Title,Airdate,Teleplay,Story,Director,Stardate,URL
0,1,1,Encounter at Farpoint I,9/28/1987,"0,1","0,1",2,41153.7,http://en.memory-alpha.org/wiki/Encounter_at_Farpoint_(episode)
1,1,2,Encounter at Farpoint II,9/28/1987,"0,1","0,1",2,41153.7,http://en.memory-alpha.org/wiki/Encounter_at_Farpoint_(episode)
2,1,3,The Naked Now,10/5/1987,4,"3,4",5,41209.2,http://en.memory-alpha.org/wiki/The_Naked_Now_(episode)
3,1,4,Code of Honor,10/12/1987,"6,7","6,7","8,9",41235.25,http://en.memory-alpha.org/wiki/Code_of_Honor_(episode)
4,1,5,The Last Outpost,10/19/1987,10,11,12,41386.4,http://en.memory-alpha.org/wiki/The_Last_Outpost_(episode)
5,1,6,Where No One Has Gone Before,10/26/1987,"13,14","13,14",15,41263.1,http://en.memory-alpha.org/wiki/Where_No_One_Has_Gone_Before_(episode)
6,1,7,Lonely Among Us,11/2/1987,1,16,17,41249.3,http://en.memory-alpha.org/wiki/Lonely_Among_Us_(episode)
7,1,8,Justice,11/9/1987,18,"18,19",20,41255.6,http://en.memory-alpha.org/wiki/Justice_(episode)
8,1,9,The Battle,11/16/1987,10,21,15,41723.9,http://en.memory-alpha.org/wiki/The_Battle_(episode)
9,1,10,Hide and Q,11/23/1987,"0,22",22,17,41590.5,http://en.memory-alpha.org/wiki/Hide_and_Q_(episode)
10,1,11,Haven,11/30/1987,23,"23,24",25,41294.5,http://en.memory-alpha.org/wiki/Haven_(episode)
11,1,12,The Big Goodbye,1/11/1988,23,23,26,41997.7,http://en.memory-alpha.org/wiki/The_Big_Goodbye_(episode)
12,1,13,Datalore,1/18/1988,"0,27","27,28",15,41242.4,http://en.memory-alpha.org/wiki/Datalore_(episode)
13,1,14,Angel One,1/25/1988,29,29,30,41636.9,http://en.memory-alpha.org/wiki/Angel_One_(episode)
14,1,15,11001001,2/1/1988,"27,28","27,28",5,41365.9,http://en.memory-alpha.org/wiki/11001001_(episode)
15,1,16,Too Short a Season,2/8/1988,"1,31",31,15,41309.5,http://en.memory-alpha.org/wiki/Too_Short_a_Season_(episode)
16,1,17,When the Bough Breaks,2/15/1988,32,32,33,41509.1,http://en.memory-alpha.org/wiki/When_The_Bough_Breaks_(episode)
17,1,18,Home Soil,2/22/1988,34,"34,35,36",2,41463.9,http://en.memory-alpha.org/wiki/Home_Soil_(episode)
18,1,19,Coming of Age,3/14/1988,"32,37","32,37",38,41461.2,http://en.memory-alpha.org/wiki/Coming_of_Age_(episode)
19,1,20,Heart of Glory,3/21/1988,28,"1,10,28",15,41503.7,http://en.memory-alpha.org/wiki/Heart_of_Glory_(episode)
20,1,21,The Arsenal of Freedom,4/11/1988,"39,40","27,28",9,41798.2,http://en.memory-alpha.org/wiki/The_Arsenal_of_Freedom_(episode)
21,1,22,Symbiosis,4/18/1988,"27,39,40",27,41,,http://en.memory-alpha.org/wiki/The_Arsenal_of_Freedom_(episode)
22,1,23,Skin of Evil,4/25/1988,"32,42",42,26,41601.3,http://en.memory-alpha.org/wiki/Skin_of_Evil_(episode)
23,1,24,We'll Always Have Paris,5/2/1988,"32,43","32,43",44,41697.9,http://en.memory-alpha.org/wiki/We%27ll_Always_Have_Paris_(episode)
24,1,25,Conspiracy,5/9/1988,23,34,17,41775.5,http://en.memory-alpha.org/wiki/Conspiracy_(episode)
25,1,26,The Neutral Zone,5/16/1988,28,"45,46",20,41986,http://en.memory-alpha.org/wiki/The_Neutral_Zone_(episode)
26,2,1,The Child,11/21/1988,"47,48,28","47,48,28",15,42073.1,http://en.memory-alpha.org/wiki/The_Child_(episode)
27,2,2,Where Silence Has Lease,11/28/1988,49,49,50,42193.6,http://en.memory-alpha.org/wiki/Where_Silence_Has_Lease_(episode)
28,2,3,"Elementary, Dear Data",12/5/1988,51,51,15,42286.3,"http://en.memory-alpha.org/wiki/Elementary,_Dear_Data_(episode)"
29,2,4,The Outrageous Okona,12/12/1988,52,"53,54,55",56,42402.7,http://en.memory-alpha.org/wiki/The_Outrageous_Okona_(episode)
30,2,5,Loud As A Whisper,1/9/1989,57,57,58,42477.2,http://en.memory-alpha.org/wiki/Loud_As_A_Whisper_(episode)
31,2,6,The Schizoid Man,1/23/1989,23,"39,40",9,42437.5,http://en.memory-alpha.org/wiki/The_Schizoid_Man_(episode)
32,2,7,Unnatural Selection,1/30/1989,"59,60","59,60",5,42494.8,http://en.memory-alpha.org/wiki/Unnatural_Selection_(episode)
33,2,8,A Matter of Honor,2/6/1989,52,"61,62,52",15,42506.6,http://en.memory-alpha.org/wiki/A_Matter_Of_Honor_(episode)
34,2,9,The Measure of a Man,2/13/1989,63,63,64,42523.7,http://en.memory-alpha.org/wiki/The_Measure_Of_A_Man_(episode)
35,2,10,The Dauphin,2/20/1989,"65,66","65,66",15,42568.8,http://en.memory-alpha.org/wiki/The_Dauphin_(episode)
36,2,11,Contagion,3/20/1989,"67,68","67,68",26,42609.1,http://en.memory-alpha.org/wiki/Contagion_(episode)
37,2,12,The Royale,3/27/1989,69,69,17,42625.4,http://en.memory-alpha.org/wiki/The_Royale_(episode)
38,2,13,Time Squared,4/3/1989,28,70,26,42679.2,http://en.memory-alpha.org/wiki/Time_Squared_(episode)
39,2,14,The Icarus Factor,4/24/1989,"71,72",71,73,42686.4,http://en.memory-alpha.org/wiki/The_Icarus_Factor_(episode)
40,2,15,Pen Pals,5/1/1989,64,32,50,42695.3,http://en.memory-alpha.org/wiki/Pen_Pals_(episode)
41,2,16,Q Who,5/8/1989,28,28,15,42761.3,http://en.memory-alpha.org/wiki/Q_Who_(episode)
42,2,17,Samaritan Snare,5/15/1989,72,72,9,42779.1,http://en.memory-alpha.org/wiki/Samaritan_Snare_(episode)
43,2,18,Up the Long Ladder,5/22/1989,63,63,50,42823.2,http://en.memory-alpha.org/wiki/Up_The_Long_Ladder_(episode)
44,2,19,Manhunt,6/19/1989,74,74,15,42859.2,http://en.memory-alpha.org/wiki/Manhunt_(episode)
45,2,20,The Emissary,6/29/1989,"39,40","39,40,75",17,42901.3,http://en.memory-alpha.org/wiki/The_Emissary_(episode)
46,2,21,Peak Performance,7/10/1989,76,76,64,42923.4,http://en.memory-alpha.org/wiki/Peak_Performance_(episode)
47,2,22,Shades of Gray,7/17/1989,"28,39,40",28,15,42976.1,http://en.memory-alpha.org/wiki/Shades_of_Gray_(episode)
48,3,1,Evolution,9/25/1989,77,"77,78",50,43125.8,http://en.memory-alpha.org/wiki/Evolution_(episode)
49,3,2,The Ensigns of Command,10/2/1989,63,63,17,,http://en.memory-alpha.org/wiki/The_Ensigns_of_Command_(episode)
50,3,3,The Survivors,10/9/1989,78,78,9,43152.4,http://en.memory-alpha.org/wiki/The_Survivors_(episode)
51,3,4,Who Watches the Watchers,10/16/1989,"39,40","39,40",79,43173.5,http://en.memory-alpha.org/wiki/Who_Watches_The_Watchers_(episode)
52,3,5,The Bonding,10/23/1989,80,80,50,43198.7,http://en.memory-alpha.org/wiki/The_Bonding_(episode)
53,3,6,Booby Trap,10/30/1989,"81,77,82","78,81",83,43205.6,http://en.memory-alpha.org/wiki/Booby_Trap_(episode)
54,3,7,The Enemy,11/6/1989,"76,77","76,77",84,43349.2,http://en.memory-alpha.org/wiki/The_Enemy_(episode)
55,3,8,The Price,11/13/1989,32,32,64,43385.6,http://en.memory-alpha.org/wiki/The_Price_(episode)
56,3,9,The Vengeance Factor,11/20/1989,85,85,86,43421.9,http://en.memory-alpha.org/wiki/The_Vengeance_Factor_(episode)
57,3,10,The Defector,1/1/1990,80,80,64,43462.5,http://en.memory-alpha.org/wiki/The_Defector_(episode)
58,3,11,The Hunted,1/8/1990,87,87,17,43489.2,http://en.memory-alpha.org/wiki/The_Hunted_(episode)
