year,mm
1992.9595,-4.784
1992.9866,-6.834
1993.0138,-9.113
1993.0409,-12.151
1993.0681,-11.164
1993.0952,-8.418
1993.1223,-2.490
1993.1495,-2.215
1993.1766,-7.920
1993.2038,-7.233
1993.2309,-3.174
1993.2852,-0.216
1993.3124,0.952
1993.3395,-5.515
1993.3667,-8.507
1993.3938,-6.895
1993.4210,-1.369
1993.4481,0.833
1993.4753,-1.847
1993.5024,-5.313
1993.5296,-5.908
1993.5839,-1.671
1993.6110,-1.517
1993.6382,-2.462
1993.6653,-7.189
1993.6925,-8.255
1993.7196,-6.181
1993.7468,0.479
1993.7739,3.049
1993.8010,-1.746
1993.8553,-8.696
1993.8825,-5.172
1993.9096,-1.818
1993.9368,0.345
1993.9639,2.057
1993.9911,-4.285
1994.0182,-6.215
1994.0454,-0.658
1994.0725,3.551
1994.0997,-0.251
1994.1268,-6.871
1994.1540,-12.064
1994.1811,-3.452
1994.2354,3.855
1994.2626,2.444
1994.2897,-0.768
1994.3169,-6.762
1994.3440,-5.546
1994.3712,-1.771
1994.3983,-2.876
1994.4255,-1.656
1994.4526,-3.964
1994.5069,-7.195
1994.5340,-1.096
1994.5612,1.383
1994.5883,-0.764
1994.6155,-7.934
1994.6426,-8.969
1994.6698,-8.598
1994.6969,0.233
1994.7241,0.576
1994.7512,-3.781
1994.7784,-5.770
1994.8055,-6.329
1994.8327,-7.335
1994.8870,-2.224
1994.9141,-8.977
1994.9413,-7.486
1994.9684,-5.651
1994.9956,-0.315
1995.0227,3.274
1995.0499,3.663
1995.0770,4.381
1995.1042,-4.198
1995.1313,-10.284
1995.1585,-1.586
1995.2128,7.509
1995.2399,-1.735
1995.2670,-5.001
1995.2942,-7.121
1995.3213,-1.823
1995.3756,-0.903
1995.4028,-0.820
1995.4299,-2.616
1995.4571,-5.165
1995.4842,-3.149
1995.5657,-2.369
1995.5928,-6.586
1995.6200,-7.403
1995.6471,-4.602
1995.6743,1.446
1995.7014,2.655
1995.7286,2.044
1995.7557,-5.416
1995.7829,-7.539
1995.8372,-0.575
1995.8643,1.472
1995.8915,0.001
1995.9458,-6.891
1995.9729,3.516
1996.0000,3.081
1996.0272,-0.962
1996.0543,-4.817
1996.0815,-8.043
1996.1086,-5.234
1996.1629,7.028
1996.1901,1.509
1996.2172,-0.471
1996.2444,-3.167
1996.2715,-3.966
1996.2987,1.328
1996.3258,5.456
1996.3530,3.488
1996.3801,-0.697
1996.4073,-2.102
1996.4344,-0.210
1996.4887,7.964
1996.5159,5.511
1996.5430,2.967
1996.5702,1.034
1996.5973,1.625
1996.6245,2.356
1996.6516,3.802
1996.6788,2.063
1996.7059,-1.345
1996.7330,-3.896
1996.7602,-2.596
1996.8145,1.018
1996.8416,4.497
1996.8688,1.053
1996.8959,-3.918
1996.9231,-0.264
1996.9502,5.315
1996.9774,4.762
1997.0045,2.636
1997.0317,-1.202
1997.0588,-6.214
1997.0860,0.472
1997.1403,4.684
1997.1674,2.187
1997.1946,-1.960
1997.2217,-2.008
1997.2489,2.732
1997.2760,8.314
1997.3032,4.872
1997.3303,3.122
1997.3575,6.097
1997.3846,0.202
1997.4118,6.441
1997.4660,12.275
1997.4932,10.920
1997.5203,7.687
1997.5475,7.752
1997.5746,10.938
1997.6289,12.062
1997.6561,12.941
1997.6832,9.070
1997.7104,7.951
1997.7375,14.443
1997.7918,16.249
1997.8190,13.451
1997.8461,10.587
1997.8733,7.444
1997.9004,10.756
1997.9276,16.001
1997.9547,12.631
1997.9819,11.438
1998.0090,4.513
1998.0362,8.046
1998.0905,15.511
1998.1176,15.174
1998.1448,11.417
1998.1719,6.717
1998.1990,9.628
1998.2262,12.357
1998.2533,18.665
1998.2805,19.236
1998.3076,12.489
1998.3348,11.986
1998.3619,8.818
1998.4162,12.556
1998.4434,13.594
1998.4705,8.790
1998.4977,6.275
1998.5248,6.604
1998.5520,7.809
1998.6063,7.902
1998.6334,4.062
1998.6606,4.677
1998.6877,5.249
1998.7149,9.054
1998.7420,11.799
1998.7692,11.755
1998.8235,5.466
1998.8506,6.303
1998.8777,13.340
1998.9049,8.666
1998.9320,17.987
1998.9592,11.133
1998.9863,5.961
1999.0135,8.254
1999.0406,14.907
1999.0949,10.771
1999.1492,7.155
1999.1764,10.729
1999.2035,13.033
1999.2307,16.865
1999.2578,12.486
1999.2850,8.529
1999.3393,9.665
1999.3664,13.057
1999.3936,12.716
1999.4207,14.503
1999.4479,7.342
1999.4750,5.279
1999.5022,8.470
1999.5293,15.120
1999.5565,16.425
1999.5836,12.716
1999.6107,6.662
1999.6379,10.746
1999.6922,13.570
1999.7193,17.242
1999.7465,14.416
1999.7736,14.172
1999.8008,9.845
1999.8279,12.797
1999.8551,17.767
1999.8822,17.407
1999.9094,14.494
1999.9637,12.875
1999.9908,16.937
2000.0180,18.544
2000.0451,19.172
2000.0723,16.598
2000.0994,10.112
2000.1266,11.422
2000.1537,18.331
2000.1809,20.671
2000.2080,19.381
2000.2352,19.527
2000.2895,12.801
2000.3166,14.898
2000.3437,15.712
2000.3709,17.304
2000.3980,14.906
2000.4252,10.901
2000.4523,9.205
2000.4795,13.315
2000.5066,16.100
2000.5338,18.018
2000.5881,6.873
2000.6152,13.139
2000.6695,17.362
2000.6967,16.943
2000.7238,17.767
2000.7510,16.239
2000.7781,17.141
2000.8053,19.385
2000.8596,22.903
2000.8867,17.663
2000.9139,16.848
2000.9410,13.546
2000.9682,17.130
2000.9953,22.890
2001.0225,19.139
2001.0767,14.535
2001.1039,18.653
2001.1310,20.661
2001.1582,25.530
2001.1853,25.292
2001.2125,17.214
2001.2396,17.061
2001.2668,19.125
2001.2939,25.078
2001.3211,25.545
2001.3482,21.781
2001.3754,18.436
2001.4025,15.119
2001.4297,16.799
2001.4568,20.357
2001.4840,25.888
2001.5111,26.318
2001.5383,22.918
2001.5654,16.491
2001.5926,22.300
2001.6197,23.443
2001.6469,24.278
2001.6740,23.117
2001.7012,21.576
2001.7283,21.570
2001.7555,24.523
2001.7826,24.869
2001.8097,23.908
2001.8369,26.684
2001.8640,22.790
2001.8912,19.482
2001.9183,20.007
2001.9455,22.164
2001.9726,24.980
2001.9998,25.641
2002.0269,18.060
2002.0541,19.506
2002.0812,27.066
2002.1084,30.045
2002.1355,28.662
2002.1627,23.634
2002.1898,17.965
2002.2170,20.799
2002.2441,23.117
2002.2713,29.305
2002.2984,25.624
2002.3256,25.167
2002.3527,20.019
2002.3799,22.927
2002.4070,25.701
2002.4342,25.849
2002.4613,22.782
2002.4885,26.297
2002.5156,25.492
2002.5427,26.030
2002.5699,29.651
2002.5970,33.083
2002.6242,33.076
2002.6513,26.442
2002.6785,22.805
2002.7056,25.016
2002.7328,30.843
2002.7599,29.023
2002.7871,30.527
2002.8142,30.867
2002.8414,23.522
2002.8685,25.533
2002.8957,33.672
2002.9228,30.424
2002.9500,29.158
2002.9771,27.201
2003.0043,24.275
2003.0314,24.072
2003.0586,32.668
2003.0857,35.167
2003.1129,34.472
2003.1400,23.670
2003.1672,25.885
2003.1943,28.384
2003.2214,32.155
2003.2486,32.677
2003.2757,28.140
2003.3029,26.634
2003.3300,26.051
2003.3572,26.354
2003.3843,30.445
2003.4115,31.563
2003.4386,25.031
2003.4658,25.353
2003.4929,23.929
2003.5201,26.000
2003.5472,31.635
2003.5744,31.221
2003.6015,29.296
2003.6287,23.142
2003.6558,25.057
2003.6830,31.517
2003.7101,31.615
2003.7373,30.054
2003.7644,30.109
2003.7916,25.986
2003.8187,26.960
2003.8459,27.618
2003.8730,30.446
2003.9273,30.407
2003.9544,27.025
2003.9816,25.362
2004.0087,30.618
2004.0359,36.201
2004.0630,36.034
2004.0902,31.962
2004.1173,20.482
2004.1716,31.325
2004.1988,34.712
2004.2259,33.537
2004.2531,31.247
2004.2802,28.585
2004.3074,34.336
2004.3345,28.845
2004.3617,30.798
2004.3888,28.244
2004.4160,27.112
2004.4431,25.868
2004.4703,29.073
2004.4974,35.919
2004.5246,36.667
2004.5517,33.243
2004.5789,29.016
2004.6060,30.145
2004.6332,31.856
2004.6603,33.780
2004.6874,38.629
2004.7146,38.873
2004.7417,29.137
2004.7689,30.771
2004.7960,30.488
2004.8232,32.432
2004.8503,35.641
2004.8775,35.613
2004.9046,29.515
2004.9318,30.493
2004.9589,33.589
2004.9861,42.449
2005.0132,35.998
2005.0404,33.321
2005.0675,33.483
2005.0947,32.611
2005.1218,35.243
2005.1490,38.492
2005.1761,44.041
2005.2033,41.710
2005.2304,29.604
2005.2576,30.487
2005.2847,39.249
2005.3119,35.672
2005.3390,37.238
2005.3662,38.224
2005.3933,34.697
2005.4204,33.649
2005.4476,35.548
2005.4747,40.067
2005.5019,40.121
2005.5290,38.254
2005.5562,33.924
2005.5833,37.354
2005.6105,34.471
2005.6376,36.416
2005.6648,40.224
2005.6919,36.246
2005.7734,36.541
2005.8005,38.044
2005.8277,38.508
2005.8548,40.453
2005.8820,39.555
2005.9091,39.168
2005.9363,38.343
2005.9634,42.895
2005.9906,42.043
2006.0177,35.113
2006.0449,33.171
2006.0720,35.615
2006.0992,37.637
2006.1263,39.849
2006.1534,39.363
2006.1806,39.875
2006.2077,31.096
2006.2349,32.474
2006.2620,37.228
2006.2892,39.158
2006.3163,35.811
2006.3435,33.702
2006.3706,36.443
2006.3978,39.479
2006.4249,37.422
2006.4521,40.807
2006.4792,42.445
2006.5064,39.745
2006.5335,37.140
2006.5607,39.360
2006.5878,42.062
2006.6150,38.279
2006.6421,39.584
2006.6693,38.306
2006.6964,37.503
2006.7236,38.294
2006.7507,40.186
2006.7779,42.369
2006.8050,42.660
2006.8864,39.761
2006.9136,38.040
2006.9407,45.484
2006.9679,42.302
2006.9950,36.882
2007.0222,34.142
2007.0493,31.966
2007.0765,40.047
2007.1036,40.775
2007.1308,38.605
2007.1579,40.072
2007.1851,34.097
2007.2122,34.932
2007.2394,40.189
2007.2665,45.012
2007.2937,41.898
2007.3208,37.237
2007.3480,31.392
2007.3751,37.393
2007.4023,41.376
2007.4294,41.054
2007.4566,39.674
2007.4837,36.737
2007.5109,34.064
2007.5380,36.067
2007.5651,37.737
2007.5923,39.250
2007.6194,39.787
2007.6466,33.183
2007.6737,30.286
2007.7009,34.908
2007.7280,39.686
2007.7552,40.890
2007.7823,38.130
2007.8095,35.852
2007.8366,34.445
2007.8638,40.024
2007.8909,45.049
2007.9181,43.646
2007.9452,41.877
2007.9724,33.716
2007.9995,33.627
2008.0267,38.169
2008.0538,43.913
2008.0810,43.665
2008.1081,35.440
2008.1353,36.433
2008.1624,34.722
2008.1896,39.870
2008.2167,42.671
2008.2439,42.154
2008.2710,39.168
2008.2981,37.763
2008.3253,34.176
2008.3796,47.351
2008.4067,46.673
2008.4339,43.836
2008.4610,42.350
2008.4882,43.469
2008.5153,44.376
2008.5425,45.900
2008.5696,44.340
2008.5968,40.694
2008.6239,39.914
2008.6511,38.954
2008.6782,41.620
2008.7054,41.426
2008.7325,43.252
2008.7597,41.578
2008.7868,39.405
2008.8140,40.972
2008.8411,42.872
2008.8683,45.915
2008.8954,43.756
2008.9226,45.302
2008.9497,40.957
2008.9769,40.367
2009.0040,41.594
2009.0311,45.374
2009.0583,47.187
2009.0854,40.297
2009.1126,37.309
2009.1397,43.552
2009.1669,47.082
2009.1940,48.141
2009.2212,47.908
2009.2483,44.234
2009.2755,41.699
2009.3026,43.360
2009.3298,46.996
2009.3569,50.489
2009.3841,44.634
2009.4112,40.083
2009.4384,42.691
2009.4655,44.876
2009.4927,45.511
2009.5198,44.539
2009.5470,45.230
2009.5741,47.411
2009.6013,41.985
2009.6284,43.122
2009.6556,48.873
2009.6827,50.344
2009.7099,50.647
2009.7370,47.087
2009.7642,45.279
2009.7913,47.423
2009.8184,52.145
2009.8456,54.477
2009.8727,48.963
2009.8999,47.623
2009.9270,45.538
2009.9542,47.908
2009.9813,53.480
2010.0085,49.917
2010.0356,47.087
2010.0628,44.710
2010.0899,41.353
2010.1171,48.093
2010.1442,54.358
2010.1714,55.970
2010.1985,46.972
2010.2257,44.510
2010.2528,45.025
2010.2800,48.945
2010.3071,51.050
2010.3343,52.264
2010.3614,47.363
2010.3886,47.643
2010.4157,46.782
2010.4429,51.347
2010.4700,54.220
2010.4971,53.291
2010.5243,47.874
2010.5514,47.599
2010.5786,47.035
2010.6057,45.393
2010.6329,51.623
2010.6600,45.427
2010.6872,43.408
2010.7143,41.822
2010.7415,40.967
2010.7686,43.015
2010.7958,49.826
2010.8229,48.304
2010.8501,44.116
2010.8772,41.468
2010.9044,39.374
2010.9315,45.451
2010.9587,46.759
2010.9858,46.458
2011.0130,43.917
2011.0401,41.260
2011.0673,40.563
2011.0944,44.982
2011.1216,47.532
2011.1487,47.495
2011.1759,41.706
2011.2030,38.773
2011.2301,39.592
2011.2573,44.259
2011.2844,45.363
2011.3116,45.017
2011.3387,39.567
2011.3659,41.284
2011.3930,42.908
2011.4202,45.433
2011.4473,50.347
2011.4745,50.593
2011.5016,45.073
2011.5288,44.495
2011.5559,45.926
2011.5831,48.202
2011.6102,54.435
2011.6374,51.439
2011.6645,48.058
2011.6917,46.471
2011.7188,46.053
2011.7460,48.668
2011.7731,53.315
2011.8003,53.580
2011.8274,46.630
2011.8546,43.711
2011.8817,44.361
2011.9089,52.990
2011.9360,53.389
2011.9631,49.726
2011.9903,49.248
2012.0174,52.562
2012.0446,53.283
2012.0717,58.060
2012.0989,57.124
2012.1260,55.927
2012.1532,51.674
2012.1803,47.765
2012.2075,52.535
2012.2346,58.567
2012.2618,55.232
2012.2889,53.468
2012.3161,51.759
2012.3432,51.054
2012.3704,54.971
2012.3975,55.524
2012.4247,57.169
2012.4518,59.817
2012.4790,53.460
2012.5061,54.577
2012.5333,61.395
2012.5604,63.947
2012.5876,62.052
2012.6147,59.965
2012.6419,52.321
2012.6690,56.319
2012.6961,57.636
2012.7233,64.489
2012.7504,63.073
2012.7776,59.917
2012.8047,56.195
2012.8319,57.329
2012.8590,59.198
